NSE_code,Industry,Current_price,Fcf 3years,Fcf 5years,Fcf 7years,Fcf 10years,Market_capitalization,avg_fcf,intrinsic_value,undervalued_score
JUBLFOOD,Hotels,571.0,823.7,1801.03,2351.9,2330.96,37677.18,1826.8975,1525.6707018939383,954.6707018939383
JYOTHYLAB,Personal Care - Indian,453.7,941.09,1447.55,1957.36,2379.64,16660.24,1681.4099999999999,1404.171813071881,950.4718130718809
CGPOWER,Electric Equipment,709.65,1452.59,1844.23,2728.73,1891.67,108391.9,1979.3049999999998,1652.948591046942,943.2985910469421
FORTIS,Healthcare,478.7,1289.02,1597.9,1774.14,2120.35,36139.85,1695.3525,1415.8154130883875,937.1154130883874
MUKANDLTD,Steel - Large,161.25,418.4,849.46,1779.0,2152.8,2330.01,1299.915,1085.5793663587904,924.3293663587904
KRBL,Food - Processing - Indian,291.4,242.0,1766.31,1653.81,2148.29,6669.84,1452.6025,1213.0910878951277,921.6910878951277
ORIENTCEM,Cement - South India,270.7,800.64,1679.14,1971.36,1253.69,5545.79,1426.2075,1191.0482101877083,920.3482101877082
ANSALAPI,Construction,9.5,559.78,915.86,1637.97,1323.2,149.52,1109.2024999999999,926.3123720501619,916.8123720501619
GFLLIMITED,Finance & Investments,82.36,491.46,1276.19,1799.3,1147.38,904.71,1178.5825,984.2526961774879,901.8926961774879
KANSAINER,Paints / Varnishes,273.5,760.02,1661.3,1253.32,1905.96,22109.18,1395.1499999999999,1165.111605739965,891.611605739965
SONATSOFTW,Computers - Software - Medium / Small,610.35,948.48,1749.32,2018.18,2417.99,17115.72,1783.4925,1489.4225068990322,879.0725068990322
BIRLACORPN,Cement - North India,1600.85,1535.94,2416.78,3607.4,4233.57,12328.13,2948.4225,2462.2737865998943,861.4237865998944
IPCALAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,1142.55,1272.12,2279.99,2807.9,3211.16,28986.99,2392.7925,1998.2584753449773,855.7084753449774
ELECTCAST,Castings & Forgings,176.95,375.72,853.94,1172.28,2543.67,10521.58,1236.4025000000001,1032.5390833357756,855.5890833357755
PURVA,Construction,517.2,1124.25,1925.05,1736.39,1761.62,12264.89,1636.8275,1366.9402693934935,849.7402693934935
MAHSEAMLES,Steel - Medium / Small,660.2,1625.57,1955.54,1740.32,1910.21,8846.12,1807.9099999999999,1509.8139433991614,849.6139433991614
MANINFRA,Construction,192.5,1211.2,1410.61,1236.55,1111.89,7146.6,1242.5625,1037.683395769104,845.183395769104
EPL,Packaging,203.25,478.8,1192.7,1454.86,1895.25,6471.04,1255.4025,1048.4062807762366,845.1562807762366
NAGAFERT,Fertilizers,12.78,355.4,544.45,1124.58,1861.86,764.31,971.5725,811.3754044853902,798.5954044853902
